title,year,director,rating,votes,metascore
"i, daniel blake",2016,ken loach,7.9,22941,77.0
the break-up,2006,peyton reed,5.8,106381,45.0
loving,2016,jeff nichols,7.1,17141,79.0
fantastic four,2015,josh trank,4.3,121847,27.0
the survivalist,2015,stephen fingleton,6.3,9187,80.0
colonia,2015,florian gallenberger,7.1,30074,33.0
the boy next door,2015,rob cohen,4.6,30180,30.0
the gift,2015,joel edgerton,7.1,96688,77.0
dracula untold,2014,gary shore,6.3,148504,40.0
in the heart of the sea,2015,ron howard,6.9,90372,47.0
idiocracy,2006,mike judge,6.6,115355,66.0
the expendables,2010,sylvester stallone,6.5,283282,45.0
evil dead,2013,fede alvarez,6.5,133113,57.0
sinister,2012,scott derrickson,6.8,171169,53.0
wreck-it ralph,2012,rich moore,7.8,290559,72.0
snow white and the huntsman,2012,rupert sanders,6.1,239772,57.0
pan,2015,joe wright,5.8,47804,36.0
transformers: dark of the moon,2011,michael bay,6.3,338369,42.0
juno,2007,jason reitman,7.5,432461,81.0
a hologram for the king,2016,tom tykwer,6.1,26521,58.0
money monster,2016,jodie foster,6.5,68654,55.0
the other woman,2014,nick cassavetes,6.0,110825,39.0
enchanted,2007,kevin lima,7.1,150353,75.0
the intern,2015,nancy meyers,7.1,159582,51.0
little miss sunshine,2006,jonathan dayton,7.8,374044,80.0
bleed for this,2016,ben younger,6.8,11900,62.0
clash of the titans,2010,louis leterrier,5.8,238206,39.0
the finest hours,2016,craig gillespie,6.8,44425,58.0
tron,2010,joseph kosinski,6.8,273959,49.0
the hunger games: catching fire,2013,francis lawrence,7.6,525646,76.0
all good things,2010,andrew jarecki,6.3,44158,57.0
kickboxer: vengeance,2016,john stockwell,4.9,6809,37.0
the last airbender,2010,m. night shyamalan,4.2,125129,20.0
sex tape,2014,jake kasdan,5.1,89885,36.0
what to expect when you're expecting,2012,kirk jones,5.7,60059,41.0
moneyball,2011,bennett miller,7.6,297395,87.0
ghost rider,2007,mark steven johnson,5.2,190673,35.0
unbroken,2014,angelina jolie,7.2,114006,59.0
immortals,2011,tarsem singh,6.0,142900,46.0
sunshine,2007,danny boyle,7.3,199860,64.0
brave,2012,mark andrews,7.2,293941,69.0
män som hatar kvinnor,2009,niels arden oplev,7.8,182074,76.0
adoration,2013,anne fontaine,6.2,25208,37.0
the drop,2014,michaël r. roskam,7.1,116118,69.0
she's the man,2006,andy fickman,6.4,122864,45.0
daddy's home,2015,sean anders,6.1,68306,42.0
let me in,2010,matt reeves,7.2,97141,79.0
never back down,2008,jeff wadlow,6.6,84083,39.0
grimsby,2016,louis leterrier,6.2,63408,44.0
moon,2009,duncan jones,7.9,277123,67.0
megamind,2010,tom mcgrath,7.3,183926,63.0
gangster squad,2013,ruben fleischer,6.7,181432,40.0
blood father,2016,jean-françois richet,6.4,40357,66.0
he's just not that into you,2009,ken kwapis,6.4,137684,47.0
kung fu panda 3,2016,alessandro carloni,7.2,89791,66.0
the rise of the krays,2015,zackary adler,5.1,1630,90.0
horrible bosses,2011,seth gordon,6.9,368556,57.0
mommy,2014,xavier dolan,8.1,33560,74.0
hellboy ii: the golden army,2008,guillermo del toro,7.0,216932,78.0
beautiful creatures,2013,richard lagravenese,6.2,71822,52.0
toni erdmann,2016,maren ade,7.6,24387,93.0
the lovely bones,2009,peter jackson,6.7,130702,42.0
the assassination of jesse james by the coward robert ford,2007,andrew dominik,7.5,143564,68.0
don jon,2013,joseph gordon-levitt,6.6,199973,66.0
bastille day,2016,james watkins,6.3,21089,48.0
2307: winter's dream,2016,joey curtis,4.0,277,53.0
mr. right,2015,paco cabezas,6.3,30053,52.0
the secret life of walter mitty,2013,ben stiller,7.3,249877,54.0
dope,2015,rick famuyiwa,7.3,66400,72.0
underworld awakening,2012,måns mårlind,6.4,127157,39.0
antichrist,2009,lars von trier,6.6,94069,49.0
friday the 13th,2009,marcus nispel,5.6,78631,34.0
taken 3,2014,olivier megaton,6.0,144715,26.0
total recall,2012,len wiseman,6.3,210965,43.0
x-men: the last stand,2006,brett ratner,6.7,406540,58.0
the escort,2016,will slocombe,6.0,7181,46.0
night at the museum: secret of the tomb,2014,shawn levy,6.2,74886,47.0
love & other drugs,2010,edward zwick,6.7,151519,55.0
the interview,2014,evan goldberg,6.6,261536,52.0
the host,2006,bong joon ho,7.0,73491,85.0
megan is missing,2011,michael goi,4.9,6683,94.0
knocked up,2007,judd apatow,7.0,309398,85.0
source code,2011,duncan jones,7.5,404884,74.0
lawless,2012,john hillcoat,7.3,195360,58.0
unfriended,2014,levan gabriadze,5.6,50402,59.0
american reunion,2012,jon hurwitz,6.7,178471,49.0
the pursuit of happyness,2006,gabriele muccino,8.0,361105,64.0
relatos salvajes,2014,damián szifron,8.1,110100,77.0
the ridiculous 6,2015,frank coraci,4.8,31149,18.0
frantz,2016,françois ozon,7.5,4304,73.0
viral,2016,henry joost,5.5,3564,72.0
burnt,2015,john wells,6.6,76469,42.0
tall men,2016,jonathan holbrook,3.2,173,57.0
vampire academy,2014,mark waters,5.6,44111,30.0
sweeney todd: the demon barber of fleet street,2007,tim burton,7.4,296289,83.0
solace,2015,afonso poyart,6.4,36300,36.0
insidious,2010,james wan,6.8,219916,52.0
popstar: never stop never stopping,2016,akiva schaffer,6.7,30875,68.0
the levelling,2016,hope dickson leach,6.4,482,82.0
public enemies,2009,michael mann,7.0,240323,70.0
boyhood,2014,richard linklater,7.9,286722,100.0
teenage mutant ninja turtles,2014,jonathan liebesman,5.9,178527,31.0
eastern promises,2007,david cronenberg,7.7,198006,82.0
the daughter,2015,simon stone,6.7,2798,62.0
pineapple express,2008,david gordon green,7.0,267872,64.0
the first time,2012,jon kasdan,6.9,54027,55.0
gone baby gone,2007,ben affleck,7.7,206707,72.0
the heat,2013,paul feig,6.6,140151,60.0
l'avenir,2016,mia hansen-løve,7.1,5796,88.0
anna karenina,2012,joe wright,6.6,75291,63.0
regression,2015,alejandro amenábar,5.7,26320,32.0
ted 2,2015,seth macfarlane,6.3,136323,48.0
pain & gain,2013,michael bay,6.5,168875,45.0
blood diamond,2006,edward zwick,8.0,422014,64.0
devil's knot,2013,atom egoyan,6.1,15514,42.0
child 44,2015,daniel espinosa,6.5,47703,41.0
the hurt locker,2008,kathryn bigelow,7.6,352023,94.0
green lantern,2011,martin campbell,5.6,231907,39.0
war on everyone,2016,john michael mcdonagh,5.9,9285,50.0
the mist,2007,frank darabont,7.2,233346,58.0
escape plan,2013,mikael håfström,6.7,188004,49.0
"love, rosie",2014,christian ditter,7.2,80415,44.0
the duff,2015,ari sandel,6.5,57874,56.0
the age of shadows,2016,jee-woon kim,7.2,2403,78.0
the hunger games: mockingjay - part 1,2014,francis lawrence,6.7,331902,64.0
we need to talk about kevin,2011,lynne ramsay,7.5,104953,68.0
love & friendship,2016,whit stillman,6.5,16164,87.0
the mortal instruments: city of bones,2013,harald zwart,5.9,112313,33.0
seven pounds,2008,gabriele muccino,7.7,245144,36.0
the king's speech,2010,tom hooper,8.0,534388,88.0
hunger,2008,steve mcqueen,7.6,54486,82.0
jumper,2008,doug liman,6.1,252503,35.0
toy story 3,2010,lee unkrich,8.3,586669,92.0
tinker tailor soldier spy,2011,tomas alfredson,7.1,157053,85.0
resident evil: retribution,2012,paul w.s. anderson,5.4,114144,39.0
dear zindagi,2016,gauri shinde,7.8,23540,56.0
pompeii,2014,paul w.s. anderson,5.5,90188,39.0
life of pi,2012,ang lee,7.9,471109,79.0
hachi: a dog's tale,2009,lasse hallström,8.1,177602,61.0
i origins,2014,mike cahill,7.3,86271,57.0
live free or die hard,2007,len wiseman,7.2,347567,69.0
the matchbreaker,2016,caleb vetter,5.5,1427,44.0
ted,2012,seth macfarlane,7.0,494641,62.0
red,2010,robert schwentke,7.1,250012,60.0
australia,2008,baz luhrmann,6.6,106115,53.0
faster,2010,george tillman jr.,6.5,83788,44.0
the neighbor,2016,marcus dunstan,5.8,4754,60.0
the hollars,2016,john krasinski,6.5,5908,53.0
the judge,2014,david dobkin,7.4,146812,48.0
closed circuit,2013,john crowley,6.2,18437,50.0
transformers: revenge of the fallen,2009,michael bay,6.0,335757,35.0
la tortue rouge,2016,michael dudok de wit,7.6,11482,86.0
the book of life,2014,jorge r. gutiérrez,7.3,50388,67.0
incendies,2010,denis villeneuve,8.2,92863,80.0
the heartbreak kid,2007,bobby farrelly,5.8,74664,46.0
happy feet,2006,george miller,6.5,141141,77.0
entourage,2015,doug ellin,6.6,64557,38.0
the strangers,2008,bryan bertino,6.2,96718,47.0
noah,2014,darren aronofsky,5.8,209700,68.0
neighbors,2014,nicholas stoller,6.4,236500,68.0
nymphomaniac: vol. ii,2013,lars von trier,6.7,65824,60.0
wild,2014,jean-marc vallée,7.1,95553,76.0
grown ups,2010,dennis dugan,6.0,190385,30.0
blair witch,2016,adam wingard,5.1,26088,47.0
the karate kid,2010,harald zwart,6.2,127983,61.0
dark shadows,2012,tim burton,6.2,209326,55.0
friends with benefits,2011,will gluck,6.6,286543,63.0
the illusionist,2006,neil burger,7.6,309934,68.0
the a-team,2010,joe carnahan,6.8,219116,47.0
the guest,2014,adam wingard,6.7,71069,76.0
the internship,2013,shawn levy,6.3,166342,42.0
paul,2011,greg mottola,7.0,201707,57.0
this beautiful fantastic,2016,simon aboud,6.9,688,51.0
the da vinci code,2006,ron howard,6.6,338280,46.0
mr. church,2016,bruce beresford,7.7,16163,37.0
hugo,2011,martin scorsese,7.5,259182,83.0
the blackcoat's daughter,2015,oz perkins,5.6,4155,68.0
body of lies,2008,ridley scott,7.1,182305,57.0
knight of cups,2015,terrence malick,5.7,17439,53.0
the mummy: tomb of the dragon emperor,2008,rob cohen,5.2,124554,31.0
the boss,2016,ben falcone,5.4,29642,40.0
hands of stone,2016,jonathan jakubowicz,6.6,8998,54.0
el secreto de sus ojos,2009,juan josé campanella,8.2,144524,80.0
true grit,2010,ethan coen,7.6,254904,80.0
we are your friends,2015,max joseph,6.2,25903,46.0
a million ways to die in the west,2014,seth macfarlane,6.1,144779,44.0
only for one night,2016,chris stokes,4.6,313,60.0
ouija: origin of evil,2016,mike flanagan,6.1,30035,65.0
percy jackson: sea of monsters,2013,thor freudenthal,5.9,91684,39.0
fracture,2007,gregory hoblit,7.2,148943,68.0
oculus,2013,mike flanagan,6.5,92875,61.0
in bruges,2008,martin mcdonagh,7.9,322536,67.0
this means war,2012,mcg,6.3,154400,31.0
lída baarová,2016,filip renc,5.0,353,64.0
lavender,2016,ed gass-donnelly,5.2,2083,46.0
deuces,2016,jamal hill,6.6,256,36.0
the fighter,2010,david o. russell,7.8,290056,79.0
august rush,2007,kirsten sheridan,7.5,91229,38.0
chef,2014,jon favreau,7.3,151970,68.0
eye in the sky,2015,gavin hood,7.3,57826,73.0
eagle eye,2008,d.j. caruso,6.6,156158,43.0
the purge,2013,james demonaco,5.7,154588,41.0
pk,2014,rajkumar hirani,8.2,103279,51.0
indiana jones and the kingdom of the crystal skull,2008,steven spielberg,6.2,351361,65.0
paper towns,2015,jake schreier,6.3,72515,56.0
high-rise,2015,ben wheatley,5.7,25928,65.0
quantum of solace,2008,marc forster,6.6,347798,58.0
the assignment,2016,walter hill,4.5,2043,34.0
how to train your dragon,2010,dean deblois,8.1,523893,74.0
lady in the water,2006,m. night shyamalan,5.6,82701,36.0
the fountain,2006,darren aronofsky,7.3,199193,51.0
cars 2,2011,john lasseter,6.2,110490,57.0
31,2016,rob zombie,5.1,10871,35.0
final girl,2015,tyler shields,4.7,9026,56.0
unknown,2011,jaume collet-serra,6.9,218679,56.0
self/less,2015,tarsem singh,6.5,67196,34.0
mr. brooks,2007,bruce a. evans,7.3,128146,45.0
tramps,2016,adam leon,6.5,1031,77.0
before we go,2014,chris evans,6.9,31370,31.0
captain phillips,2013,paul greengrass,7.8,346154,83.0
the secret scripture,2016,jim sheridan,6.8,378,37.0
max steel,2016,stewart hendler,4.6,11555,22.0
hotel transylvania 2,2015,genndy tartakovsky,6.7,69157,44.0
hancock,2008,peter berg,6.4,366138,49.0
sisters,2015,jason moore,6.0,50241,58.0
the family,2013,luc besson,6.3,92868,42.0
zack and miri make a porno,2008,kevin smith,6.6,154936,56.0
ma vie de courgette,2016,claude barras,7.8,4370,85.0
man on a ledge,2012,asger leth,6.6,129252,40.0
no strings attached,2011,ivan reitman,6.2,178243,50.0
rescue dawn,2006,werner herzog,7.3,87887,77.0
despicable me 2,2013,pierre coffin,7.4,304837,62.0
a walk among the tombstones,2014,scott frank,6.5,93883,57.0
the world's end,2013,edgar wright,7.0,199813,81.0
yoga hosers,2016,kevin smith,4.3,7091,23.0
seven psychopaths,2012,martin mcdonagh,7.2,196652,66.0
beowulf,2007,robert zemeckis,6.2,146566,59.0
jack ryan: shadow recruit,2014,kenneth branagh,6.2,103681,57.0
1408,2007,mikael håfström,6.8,221073,64.0
the gambler,2014,rupert wyatt,6.0,52537,55.0
prince of persia: the sands of time,2010,mike newell,6.6,233148,50.0
the spectacular now,2013,james ponsoldt,7.1,115751,82.0
a united kingdom,2016,amma asante,6.8,4771,65.0
uss indianapolis: men of courage,2016,mario van peebles,5.2,4964,30.0
turbo kid,2015,françois simard,6.7,19309,60.0
mama,2013,andrés muschietti,6.2,142560,57.0
orphan,2009,jaume collet-serra,7.0,153448,42.0
to rome with love,2012,woody allen,6.3,72050,54.0
fantastic mr. fox,2009,wes anderson,7.8,149779,83.0
inside man,2006,spike lee,7.6,285441,76.0
i.t.,2016,john moore,5.4,8755,27.0
127 hours,2010,danny boyle,7.6,294010,82.0
annabelle,2014,john r. leonetti,5.4,91106,37.0
wolves at the door,2016,john r. leonetti,4.6,564,63.0
the imaginarium of doctor parnassus,2009,terry gilliam,6.8,130153,65.0
g.i. joe: the rise of cobra,2009,stephen sommers,5.8,180105,32.0
christine,2016,antonio campos,7.0,5855,72.0
man down,2015,dito montiel,5.8,4779,27.0
crawlspace,2016,phil claydon,5.3,1427,25.0
the warriors gate,2016,matthias hoene,5.3,1391,77.0
disaster movie,2008,jason friedberg,1.9,77207,15.0
rocky balboa,2006,sylvester stallone,7.2,171356,63.0
diary of a wimpy kid: dog days,2012,david bowers,6.4,16917,54.0
jane eyre,2011,cary joji fukunaga,7.4,67464,76.0
fool's gold,2008,andy tennant,5.7,62719,29.0
the dictator,2012,larry charles,6.4,225394,58.0
the loft,2014,erik van looy,6.3,38804,24.0
bacalaureat,2016,cristian mungiu,7.5,5531,84.0
you don't mess with the zohan,2008,dennis dugan,5.5,163144,54.0
exposed,2016,gee malik linton,4.2,8409,23.0
maudie,2016,aisling walsh,7.8,346,60.0
horrible bosses 2,2014,sean anders,6.3,125190,40.0
a bigger splash,2015,luca guadagnino,6.4,15232,74.0
melancholia,2011,lars von trier,7.1,137117,80.0
the princess and the frog,2009,ron clements,7.1,95480,73.0
unstoppable,2010,tony scott,6.8,157499,69.0
flight,2012,robert zemeckis,7.3,276347,76.0
home,2015,tim johnson,6.7,77447,55.0
la migliore offerta,2013,giuseppe tornatore,7.8,77986,49.0
mean dreams,2016,nathan morlando,6.3,1066,64.0
42,2013,brian helgeland,7.5,69659,62.0
21,2008,robert luketic,6.8,198395,48.0
begin again,2013,john carney,7.4,111875,62.0
out of the furnace,2013,scott cooper,6.8,88829,63.0
vicky cristina barcelona,2008,woody allen,7.1,208770,70.0
kung fu panda,2008,mark osborne,7.6,329788,73.0
barbershop: the next cut,2016,malcolm d. lee,5.9,9993,67.0
terminator salvation,2009,mcg,6.6,297093,49.0
freedom writers,2007,richard lagravenese,7.5,55648,64.0
the hills have eyes,2006,alexandre aja,6.4,136642,52.0
changeling,2008,clint eastwood,7.8,206793,63.0
remember me,2010,allen coulter,7.2,119376,40.0
koe no katachi,2016,naoko yamada,8.4,2421,80.0
"alexander and the terrible, horrible, no good, very bad day",2014,miguel arteta,6.2,32310,54.0
locke,2013,steven knight,7.1,100890,81.0
the 9th life of louis drax,2016,alexandre aja,6.3,6175,41.0
horns,2013,alexandre aja,6.5,61060,46.0
indignation,2016,james schamus,6.9,7402,78.0
the stanford prison experiment,2015,kyle patrick alvarez,6.9,20907,67.0
diary of a wimpy kid: rodrick rules,2011,david bowers,6.6,20194,51.0
mission: impossible iii,2006,j.j. abrams,6.9,270429,66.0
en man som heter ove,2015,hannes holm,7.7,21569,70.0
dragonball evolution,2009,james wong,2.7,59512,45.0
red dawn,2012,dan bradley,5.4,64584,31.0
one day,2011,lone scherfig,7.0,113599,48.0
life as we know it,2010,greg berlanti,6.6,101301,39.0
28 weeks later,2007,juan carlos fresnadillo,7.0,221858,78.0
warm bodies,2013,jonathan levine,6.9,193579,59.0
blue jasmine,2013,woody allen,7.3,160592,78.0
g.i. joe: retaliation,2013,jon m. chu,5.8,152145,41.0
wrath of the titans,2012,jonathan liebesman,5.8,159230,37.0
shin gojira,2016,hideaki anno,6.9,8365,68.0
saving mr. banks,2013,john lee hancock,7.5,125693,65.0
transcendence,2014,wally pfister,6.3,184564,42.0
rio,2011,carlos saldanha,6.9,173919,63.0
equals,2015,drake doremus,6.1,16361,43.0
babel,2006,alejandro gonzález iñárritu,7.5,253417,69.0
the tree of life,2011,terrence malick,6.8,143517,85.0
the lucky one,2012,scott hicks,6.5,82874,39.0
piranha 3d,2010,alexandre aja,5.5,75262,53.0
50/50,2011,jonathan levine,7.7,281625,72.0
the intent,2016,femi oyeniran,3.5,202,59.0
real steel,2011,shawn levy,7.1,264480,56.0
sex and the city,2008,michael patrick king,5.5,102547,53.0
rambo,2008,sylvester stallone,7.1,187077,46.0
planet terror,2007,robert rodriguez,7.1,174553,55.0
the fall,2006,tarsem singh,7.9,93036,64.0
the ugly truth,2009,robert luketic,6.5,172558,28.0
bride wars,2009,gary winick,5.5,83976,24.0
sleeping with other people,2015,leslye headland,6.5,27730,64.0
snakes on a plane,2006,david r. ellis,5.6,118905,58.0
what if,2013,michael dowse,6.8,55243,59.0
how to train your dragon 2,2014,dean deblois,7.9,237565,76.0
robocop,2014,josé padilha,6.2,190833,52.0
in dubious battle,2016,james franco,6.2,1455,43.0
"hello, my name is doris",2015,michael showalter,6.7,12361,63.0
ocean's thirteen,2007,steven soderbergh,6.9,269581,62.0
slither,2006,james gunn,6.5,64351,69.0
contagion,2011,steven soderbergh,6.6,187004,70.0
il racconto dei racconti - tale of tales,2015,matteo garrone,6.4,17565,72.0
i am the pretty thing that lives in the house,2016,oz perkins,4.7,4204,68.0
bridge to terabithia,2007,gabor csupo,7.2,117297,74.0
coherence,2013,james ward byrkit,7.2,66265,65.0
notorious,2009,george tillman jr.,6.7,33007,60.0
goksung,2016,hong-jin na,7.5,17962,81.0
the expendables 2,2012,simon west,6.6,257395,51.0
the girl next door,2007,gregory wilson,6.7,19351,29.0
perfume: the story of a murderer,2006,tom tykwer,7.5,199387,56.0
the golden compass,2007,chris weitz,6.1,155078,51.0
centurion,2010,neil marshall,6.4,67801,62.0
scouts guide to the zombie apocalypse,2015,christopher landon,6.3,31651,32.0
17 again,2009,burr steers,6.4,152808,48.0
no escape,2015,john erick dowdle,6.8,57921,38.0
superman returns,2006,bryan singer,6.1,246797,72.0
the twilight saga: breaking dawn - part 1,2011,bill condon,4.9,190244,45.0
precious,2009,lee daniels,7.3,91623,79.0
the sea of trees,2015,gus van sant,5.9,7475,23.0
good kids,2016,chris mccoy,6.1,3843,86.0
footloose,2011,craig brewer,5.9,39380,58.0
if i stay,2014,r.j. cutler,6.8,92170,46.0
the ticket,2016,ido fluk,5.4,924,52.0
detour,2016,christopher smith,6.3,2205,46.0
the love witch,2016,anna biller,6.2,4669,82.0
talladega nights: the ballad of ricky bobby,2006,adam mckay,6.6,137502,66.0
the human centipede (first sequence),2009,tom six,4.4,60655,33.0
super,2010,james gunn,6.8,64535,50.0
the siege of jadotville,2016,richie smyth,7.3,14689,83.0
the midnight meat train,2008,ryûhei kitamura,6.1,50255,58.0
the twilight saga: eclipse,2010,david slade,4.9,192740,58.0
transpecos,2016,greg kwedar,5.8,1292,73.0
what's your number?,2011,mark mylod,6.1,62095,35.0
riddick,2013,david twohy,6.4,132098,49.0
triangle,2009,christopher smith,6.9,72533,66.0
king cobra,2016,justin kelly,5.6,3990,48.0
after earth,2013,m. night shyamalan,4.9,166512,33.0
kicks,2016,justin tipping,6.1,2417,69.0
me and earl and the dying girl,2015,alfonso gomez-rejon,7.8,92076,74.0
the descendants,2011,alexander payne,7.3,211348,84.0
sex and the city 2,2010,michael patrick king,4.3,62403,27.0
the kings of summer,2013,jordan vogt-roberts,7.2,65653,61.0
death race,2008,paul w.s. anderson,6.4,173731,43.0
that awkward moment,2014,tom gormican,6.2,81823,36.0
legion,2010,scott stewart,5.2,84158,32.0
end of watch,2012,david ayer,7.7,192190,68.0
3 days to kill,2014,mcg,6.2,73567,40.0
lucky number slevin,2006,paul mcguigan,7.8,271940,53.0
trance,2013,danny boyle,7.0,97141,61.0
into the forest,2015,patricia rozema,5.9,10220,59.0
the other boleyn girl,2008,justin chadwick,6.7,88260,50.0
i spit on your grave,2010,steven r. monroe,6.3,60133,27.0
custody,2016,james lapine,6.9,280,72.0
l'odyssée,2016,jérôme salle,6.7,1810,70.0
wrecker,2015,micheal bafaro,3.5,1210,37.0
texas chainsaw 3d,2013,john luessenhop,4.8,37060,62.0
rock of ages,2012,adam shankman,5.9,64513,47.0
scream 4,2011,wes craven,6.2,108544,52.0
queen of katwe,2016,mira nair,7.4,6753,73.0
my big fat greek wedding 2,2016,kirk jones,6.0,20966,37.0
dark places,2015,gilles paquet-brenner,6.2,31634,39.0
amateur night,2016,lisa addario,5.0,2229,38.0
it's only the end of the world,2016,xavier dolan,7.0,10658,48.0
the skin i live in,2011,pedro almodóvar,7.6,108772,70.0
miracles from heaven,2016,patricia riggen,7.0,12048,44.0
annie,2014,will gluck,5.3,27312,33.0
across the universe,2007,julie taymor,7.4,95172,56.0
let's be cops,2014,luke greenfield,6.5,112729,30.0
max,2015,boaz yakin,6.8,21405,47.0
your highness,2011,david gordon green,5.6,87904,31.0
final destination 5,2011,steven quale,5.9,88000,50.0
endless love,2014,shana feste,6.3,33688,30.0
martyrs,2008,pascal laugier,7.1,63785,89.0
underworld: rise of the lycans,2009,patrick tatopoulos,6.6,129708,44.0
taare zameen par,2007,aamir khan,8.5,102697,42.0
resident evil: afterlife,2010,paul w.s. anderson,5.9,140900,37.0
project x,2012,nima nourizadeh,6.7,164088,48.0
secret in their eyes,2015,billy ray,6.2,27585,45.0
hostel: part ii,2007,eli roth,5.5,73152,46.0
step up 2: the streets,2008,jon m. chu,6.2,70699,50.0
search party,2014,scot armstrong,5.6,4881,22.0
nine lives,2016,barry sonnenfeld,5.3,12435,11.0
joker,2019,todd phillips,8.3,1690149,59.0
avengers endgame,2019,anthony russo joe russo,8.4,1442446,78.0
avengers infinity war,2018,anthony russo joe russo,8.4,1368739,68.0
parasite,2019,bong joon ho,8.5,1148210,97.0
dune part one,2021,denis villeneuve,8.0,1038179,74.0
oppenheimer,2023,christopher nolan,8.2,1024033,90.0
spider man no way home,2021,jon watts,8.1,1017543,71.0
once upon a time in hollywood,2019,quentin tarantino,7.6,959546,84.0
the batman,2022,matt reeves,7.8,923764,72.0
captain america civil war,2016,anthony russo joe russo,7.8,925892,75.0
logan,2017,james mangold,8.1,917281,77.0
black panther,2018,ryan coogler,7.3,907405,88.0
thor ragnarok,2017,taika waititi,7.9,892533,74.0
top gun maverick,2022,joseph kosinski,8.2,855273,78.0
knives out,2019,rian johnson,7.9,875016,82.0
guardians of the galaxy vol 2,2017,james gunn,7.6,828114,67.0
get out,2017,jordan peele,7.8,814293,85.0
dunkirk,2017,christopher nolan,7.8,800591,94.0
spider man homecoming,2017,jon watts,7.4,795043,73.0
spider man into the spider verse,2018,bob persichetti peter ramsey rodney rothman,8.4,777014,87.0
batman v superman dawn of justice,2016,zack snyder,6.4,790738,44.0
1917,2020,sam mendes,8.2,769457,78.0
dune part two,2024,denis villeneuve,8.4,734902,79.0
rogue one a star wars story,2016,gareth edwards,7.8,748381,65.0
blade runner 2049,2017,denis villeneuve,8.0,751317,81.0
deadpool 2,2018,david leitch,7.6,742720,66.0
wonder woman,2017,patty jenkins,7.3,732467,76.0
star wars episode viii the last jedi,2017,rian johnson,6.8,714411,84.0
coco,2017,adrian molina lee unkrich,8.4,704092,81.0
it,2017,andy muschietti,7.3,694027,69.0
green book,2018,peter farrelly,8.2,682124,69.0
barbie,2023,greta gerwig,6.8,667737,80.0
tenet,2020,christopher nolan,7.3,684003,69.0
baby driver,2017,edgar wright,7.5,682380,86.0
a quiet place,2018,john krasinski,7.5,652123,82.0
captain marvel,2019,anna boden ryan fleck,6.7,658051,64.0
bohemian rhapsody,2018,bryan singer,7.9,638785,49.0
everything everywhere all at once,2022,daniel kwan daniel scheinert,7.7,627115,81.0
spider man far from home,2019,jon watts,7.3,637793,69.0
avatar the way of water,2022,james cameron,7.5,601100,67.0
three billboards outside ebbing missouri,2017,martin mcdonagh,8.1,601876,88.0
venom,2018,ruben fleischer,6.6,601600,35.0
the kashmir files,2022,vivek agnihotri,8.6,575455,
ford v ferrari,2019,james mangold,8.1,553839,81.0
deadpool wolverine,2024,shawn levy,7.5,565006,56.0
john wick chapter 2,2017,chad stahelski,7.4,564980,75.0
aquaman,2018,james wan,6.8,552623,55.0
doctor strange in the multiverse of madness,2022,sam raimi,6.9,543288,60.0
star wars episode ix the rise of skywalker,2019,j j abrams,6.3,536918,53.0
ready player one,2018,steven spielberg,7.4,540503,64.0
bullet train,2022,david leitch,7.3,519374,49.0
spider man across the spider verse,2023,joaquim dos santos kemp powers justin k thompson,8.5,509515,86.0
glass onion,2022,rian johnson,7.1,522178,81.0
justice league,2017,zack snyder,6.0,502540,45.0
jumanji welcome to the jungle,2017,jake kasdan,6.9,501548,58.0
the menu,2022,mark mylod,7.2,496461,71.0
ant man and the wasp,2018,peyton reed,7.0,493940,70.0
sinners,2025,ryan coogler,7.5,472042,84.0
x men apocalypse,2016,bryan singer,6.8,491572,52.0
free guy,2021,shawn levy,7.1,487068,62.0
shang chi and the legend of the ten rings,2021,destin daniel cretton,7.3,486812,71.0
jojo rabbit,2019,taika waititi,7.9,483917,58.0
no time to die,2021,cary joji fukunaga,7.3,481524,68.0
midsommar,2019,ari aster,7.1,481955,72.0
john wick chapter 3 parabellum,2019,chad stahelski,7.4,476412,73.0
black widow,2021,cate shortland,6.6,476594,68.0
the shape of water,2017,guillermo del toro,7.3,472626,87.0
guardians of the galaxy vol 3,2023,james gunn,7.9,470167,64.0
thor love and thunder,2022,taika waititi,6.1,459337,57.0
the suicide squad,2021,james gunn,7.2,457420,72.0
hereditary,2018,ari aster,7.3,453527,87.0
the gentlemen,2019,guy ritchie,7.8,452815,51.0
soul,2020,pete docter kemp powers,8.0,441986,83.0
a star is born,2018,bradley cooper,7.6,445763,88.0
the substance,2024,coralie fargeat,7.2,416556,78.0
eternals,2021,chloé zhao,6.2,423444,52.0
superman,2025,james gunn,7.0,406287,68.0
mission impossible fallout,2018,christopher mcquarrie,7.7,419025,87.0
one battle after another,2025,paul thomas anderson,7.7,397927,95.0
shazam,2019,david f sandberg,7.0,412905,71.0
john wick chapter 4,2023,chad stahelski,7.6,405485,78.0
poor things,2023,yorgos lanthimos,7.7,391223,88.0
solo a star wars story,2018,ron howard,6.9,406107,62.0
kingsman the golden circle,2017,matthew vaughn,6.7,400623,44.0
snow white,2025,marc webb,2.1,389458,50.0
nobody,2021,ilya naishuller,7.4,391880,64.0
your name,2016,makoto shinkai,8.4,385171,81.0
annihilation,2018,alex garland,6.8,391083,79.0
us,2019,jordan peele,6.8,390771,81.0
black panther wakanda forever,2022,ryan coogler,6.6,368850,67.0
pirates of the caribbean dead men tell no tales,2017,joachim rønning espen sandberg,6.5,381325,39.0
jurassic world fallen kingdom,2018,j a bayona,6.1,382093,51.0
